Test,Algorithm,Output,Time (s)
test_fixed_10_2,bitmask,-1,5.0
test_fixed_10_2,comb,-1,5.0
test_fixed_10_2,gray_iterative,-1,5.0
test_fixed_10_2,gray_recursive,172,1.6829
test_fixed_10_3,bitmask,-1,5.0
test_fixed_10_3,comb,-1,5.0
test_fixed_10_3,gray_iterative,-1,5.0
test_fixed_10_3,gray_recursive,-1,5.0
test_fixed_10_4,bitmask,-1,5.0
test_fixed_10_4,comb,-1,5.0
test_fixed_10_4,gray_iterative,-1,5.0
test_fixed_10_4,gray_recursive,-1,5.0
test_fixed_10_5,bitmask,-1,5.0
test_fixed_10_5,comb,-1,5.0
test_fixed_10_5,gray_iterative,-1,5.0
test_fixed_10_5,gray_recursive,-1,5.0
test_fixed_5_2,bitmask,111,0.006
test_fixed_5_2,comb,111,0.0058
test_fixed_5_2,gray_iterative,111,0.0056
test_fixed_5_2,gray_recursive,111,0.0061
test_fixed_5_3,bitmask,54,0.005
test_fixed_5_3,comb,54,0.0063
test_fixed_5_3,gray_iterative,54,0.0056
test_fixed_5_3,gray_recursive,54,0.0086
test_fixed_5_4,bitmask,30,0.0045
test_fixed_5_4,comb,30,0.0045
test_fixed_5_4,gray_iterative,30,0.0045
test_fixed_5_4,gray_recursive,30,0.0038
test_fixed_6_2,bitmask,73,0.0048
test_fixed_6_2,comb,73,0.0045
test_fixed_6_2,gray_iterative,73,0.0041
test_fixed_6_2,gray_recursive,73,0.0059
test_fixed_6_3,bitmask,97,0.0042
test_fixed_6_3,comb,97,0.005
test_fixed_6_3,gray_iterative,97,0.0055
test_fixed_6_3,gray_recursive,97,0.0043
test_fixed_6_4,bitmask,58,0.0045
test_fixed_6_4,comb,58,0.0051
test_fixed_6_4,gray_iterative,58,0.0049
test_fixed_6_4,gray_recursive,58,0.0041
test_fixed_7_2,bitmask,117,0.0123
test_fixed_7_2,comb,117,0.009
test_fixed_7_2,gray_iterative,117,0.0284
test_fixed_7_2,gray_recursive,117,0.0056
test_fixed_7_3,bitmask,98,0.0151
test_fixed_7_3,comb,98,0.0126
test_fixed_7_3,gray_iterative,98,0.0298
test_fixed_7_3,gray_recursive,98,0.0108
test_fixed_7_4,bitmask,146,0.0173
test_fixed_7_4,comb,146,0.0154
test_fixed_7_4,gray_iterative,146,0.0329
test_fixed_7_4,gray_recursive,146,0.0144
test_fixed_8_2,bitmask,130,0.6129
test_fixed_8_2,comb,130,0.1078
test_fixed_8_2,gray_iterative,130,3.3265
test_fixed_8_2,gray_recursive,130,0.015
test_fixed_8_3,bitmask,65,0.7302
test_fixed_8_3,comb,65,0.1957
test_fixed_8_3,gray_iterative,65,3.4586
test_fixed_8_3,gray_recursive,65,0.1261
test_fixed_8_4,bitmask,72,0.7129
test_fixed_8_4,comb,72,0.2161
test_fixed_8_4,gray_iterative,72,3.4481
test_fixed_8_4,gray_recursive,72,0.2101
test_fixed_9_2,bitmask,-1,5.0
test_fixed_9_2,comb,72,3.1577
test_fixed_9_2,gray_iterative,-1,5.0
test_fixed_9_2,gray_recursive,72,0.136
test_fixed_9_3,bitmask,-1,5.0
test_fixed_9_3,comb,73,4.7799
test_fixed_9_3,gray_iterative,-1,5.0
test_fixed_9_3,gray_recursive,73,3.3005
test_fixed_9_4,bitmask,-1,5.0
test_fixed_9_4,comb,-1,5.0
test_fixed_9_4,gray_iterative,-1,5.0
test_fixed_9_4,gray_recursive,-1,5.0
test_fixed_9_5,bitmask,-1,5.0
test_fixed_9_5,comb,-1,5.0
test_fixed_9_5,gray_iterative,-1,5.0
test_fixed_9_5,gray_recursive,-1,5.0
